               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1173,            0.030617,                   0,                   0,                   0,                   0,                   0,             0.10666,            0.030669,                   0,              0.0847,              0.0017,              0.0017
                   1,             0.11113,            0.031183,                   0,                   0,                   0,                   0,                   0,             0.10368,            0.030667,                   0,            0.068488,           0.0034885,           0.0034885
                   2,             0.11136,            0.032058,                   0,          0.00041667,            0.090909,          0.00023419,          2.3419e-05,             0.10148,            0.030572,                   0,            0.052265,            0.005265,            0.005265
                   3,             0.10627,            0.034821,                   0,          0.00041667,            0.090909,          0.00024824,          4.9647e-05,            0.097509,            0.031565,                   0,             0.03603,           0.0070297,           0.0070297
                   4,             0.10337,            0.035527,                   0,          0.00066667,             0.15385,          0.00058912,          0.00025361,             0.11275,            0.027059,                   0,            0.019783,           0.0087825,           0.0087825
                   5,             0.10154,             0.03428,                   0,                   0,                   0,                   0,                   0,             0.13176,            0.018561,                   0,            0.009835,            0.009835,            0.009835
                   6,            0.098743,            0.034586,                   0,                   0,                   0,                   0,                   0,             0.13524,            0.020078,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.097138,            0.035178,                   0,                   0,                   0,                   0,                   0,             0.13961,            0.047929,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.09714,            0.033701,                   0,          0.00058824,             0.10714,          0.00032893,          0.00011995,              0.1396,            0.020824,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.093257,             0.03416,                   0,           0.0030016,            0.071429,           0.0015598,          0.00039679,             0.13823,            0.019321,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.093151,            0.033798,                   0,            0.011961,            0.033333,           0.0021612,          0.00046665,               0.127,            0.018052,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.094063,            0.034106,                   0,           0.0011111,             0.23529,           0.0016121,          0.00033333,             0.12262,            0.019697,                   0,             0.00967,             0.00967,             0.00967
                  12,             0.09313,            0.037814,                   0,           0.0020513,             0.42105,            0.007391,           0.0013309,             0.11842,            0.020416,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.094445,            0.032896,                   0,           0.0033333,                 0.7,            0.010837,           0.0038243,             0.11143,            0.022546,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.090458,            0.035079,                   0,           0.0024444,             0.52381,            0.015189,           0.0031435,             0.10536,            0.024696,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.088742,            0.034934,                   0,             0.11187,             0.15789,            0.062724,            0.017852,             0.10524,            0.023938,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.087681,            0.033937,                   0,             0.28291,             0.21429,              0.2386,            0.075734,            0.096714,             0.02634,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.089498,            0.034482,                   0,             0.25235,             0.27273,             0.23377,            0.060854,            0.093727,             0.02722,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.086125,            0.034327,                   0,             0.22295,             0.32532,             0.15076,            0.032244,            0.091733,            0.027417,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.086712,            0.033642,                   0,              0.1807,              0.2766,             0.10353,            0.024232,            0.084664,            0.028427,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.082663,            0.033797,                   0,             0.14939,             0.20833,            0.083031,            0.023049,            0.085731,            0.028395,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.082507,            0.030786,                   0,             0.21448,             0.31429,             0.17199,            0.042625,            0.082839,              0.0287,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.088196,             0.03157,                   0,               0.121,              0.2381,            0.090919,            0.022781,             0.07765,            0.029275,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.082629,            0.030936,                   0,              0.4272,             0.21429,             0.19219,            0.051244,            0.077231,            0.028843,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.084478,            0.030627,                   0,             0.13575,             0.21875,             0.12989,            0.041195,            0.076159,            0.029539,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.081798,            0.032989,                   0,             0.36123,             0.17857,             0.18788,            0.053391,            0.077856,            0.029486,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.081207,            0.033678,                   0,             0.28037,             0.33271,             0.18721,            0.051595,            0.077743,            0.029207,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.083092,             0.03054,                   0,             0.25993,              0.2973,             0.19206,            0.053967,             0.07643,            0.030244,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.078374,            0.032583,                   0,             0.23317,             0.37339,             0.26118,            0.084841,            0.080197,            0.028559,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.075772,             0.03194,                   0,             0.27748,             0.39286,             0.21749,            0.075391,            0.076821,            0.027515,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.073946,            0.031082,                   0,             0.24231,                 0.5,             0.28864,            0.091595,            0.071125,            0.027843,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.076725,            0.030751,                   0,             0.31221,             0.42165,             0.27758,            0.096668,            0.069509,            0.027466,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.075532,            0.030611,                   0,             0.22479,             0.51163,             0.19614,            0.052354,            0.071676,             0.02648,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.078863,            0.028245,                   0,             0.20555,             0.57497,             0.17091,             0.04624,            0.071158,            0.025555,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.076525,            0.030201,                   0,             0.18951,             0.61224,              0.1552,            0.044769,            0.073112,            0.024835,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.076302,            0.030102,                   0,             0.11936,             0.38636,            0.084061,            0.025628,            0.071818,            0.026142,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.076171,            0.029751,                   0,             0.15232,             0.48889,             0.13285,            0.041177,             0.06678,            0.026734,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.073489,            0.029739,                   0,             0.21936,             0.36842,             0.20349,              0.0578,            0.072708,            0.024686,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.074514,            0.030347,                   0,             0.23651,             0.47222,             0.20282,            0.063617,            0.065501,            0.026819,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.073373,            0.028809,                   0,             0.32893,             0.49019,             0.31686,            0.088785,            0.065151,            0.026577,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.073075,            0.026451,                   0,              0.3128,             0.42553,             0.29539,             0.10527,            0.066956,            0.025795,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.074136,            0.025886,                   0,             0.37649,             0.42857,             0.31364,            0.087361,            0.070028,            0.025266,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.073723,            0.028485,                   0,             0.47122,             0.55056,             0.40088,             0.11556,            0.069007,            0.024766,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.074205,            0.029722,                   0,             0.35148,              0.5102,             0.37063,             0.12144,            0.065826,            0.024393,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.071226,            0.029144,                   0,             0.23465,             0.58333,             0.26562,            0.089468,            0.065049,            0.025092,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.071641,            0.027554,                   0,             0.43995,             0.58923,              0.4266,             0.12773,            0.063249,            0.024701,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.070551,             0.02783,                   0,             0.38449,             0.54286,             0.38648,              0.1277,            0.064954,             0.02374,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.071822,            0.027504,                   0,             0.24365,             0.60402,              0.2484,            0.090626,            0.065888,            0.024841,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.077156,            0.025935,                   0,             0.38026,              0.5625,             0.34684,            0.080957,            0.066813,            0.023316,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.075248,            0.027227,                   0,             0.34244,             0.37838,             0.30179,            0.098672,            0.061946,            0.024313,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.069911,            0.026434,                   0,             0.49593,             0.43243,             0.40932,             0.13913,            0.060241,            0.023979,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.069909,            0.026664,                   0,              0.5057,             0.41496,             0.45799,             0.15185,            0.060178,            0.023468,                   0,             0.00835,             0.00835,             0.00835
